asset_id,ward,suggested_name,osm_name,osm_name_ja,distance_m
RA-ATSU-0747,Atsuta-ku,国道1号,国道1号,国道1号,59.7
RA-ATSU-0750,Atsuta-ku,伏見通,伏見通,伏見通,44.3
RA-ATSU-0755,Atsuta-ku,国道1号,国道1号,国道1号,52.2
RA-ATSU-0775,Atsuta-ku,国道1号,国道1号,国道1号,52.0
RA-ATSU-0787,Atsuta-ku,国道1号,国道1号,国道1号,53.7
RA-ATSU-0806,Atsuta-ku,江川線,江川線,江川線,53.7
RA-ATSU-0808,Atsuta-ku,国道1号,国道1号,国道1号,52.3
RA-ATSU-0809,Atsuta-ku,国道1号,国道1号,国道1号,52.3
RA-ATSU-0810,Atsuta-ku,国道1号,国道1号,国道1号,50.6
RA-ATSU-0811,Atsuta-ku,国道1号,国道1号,国道1号,52.4
RA-ATSU-0812,Atsuta-ku,国道1号,国道1号,国道1号,50.7
RA-ATSU-0813,Atsuta-ku,国道1号,国道1号,国道1号,50.8
RA-ATSU-0814,Atsuta-ku,江川線,江川線,江川線,58.5
RA-ATSU-0822,Atsuta-ku,国道1号,国道1号,国道1号,47.4
RA-ATSU-0823,Atsuta-ku,国道1号,国道1号,国道1号,57.9
RA-ATSU-0832,Atsuta-ku,国道1号,国道1号,国道1号,52.0
RA-ATSU-0844,Atsuta-ku,江川線,江川線,江川線,55.3
RA-ATSU-0862,Atsuta-ku,江川線,江川線,江川線,54.4
RA-ATSU-0883,Atsuta-ku,津島七宝名古屋線,津島七宝名古屋線,津島七宝名古屋線,46.5
RA-ATSU-0887,Atsuta-ku,江川線,江川線,江川線,47.9
RA-ATSU-0892,Atsuta-ku,八熊通,八熊通,八熊通,45.0
RA-ATSU-0899,Atsuta-ku,八熊通,八熊通,八熊通,58.7
RA-ATSU-0905,Atsuta-ku,船着き場,船着き場,,51.2
RA-ATSU-0916,Atsuta-ku,江川線,江川線,江川線,47.1
RA-ATSU-0969,Atsuta-ku,江川線,江川線,江川線,46.7
RA-ATSU-0995,Atsuta-ku,名古屋高速4号東海線,名古屋高速4号東海線,名古屋高速4号東海線,44.7
RA-ATSU-0998,Atsuta-ku,江川線,江川線,江川線,43.8
RA-ATSU-1002,Atsuta-ku,江川線,江川線,江川線,41.6
RA-ATSU-1033,Atsuta-ku,江川線,江川線,江川線,42.9
RA-ATSU-1047,Atsuta-ku,江川線,江川線,江川線,42.4
RA-ATSU-1051,Atsuta-ku,江川線,江川線,江川線,44.5
RA-ATSU-1071,Atsuta-ku,江川線,江川線,江川線,41.7
RA-ATSU-1075,Atsuta-ku,江川線,江川線,江川線,42.0
RA-ATSU-1082,Atsuta-ku,江川線,江川線,江川線,41.5
RA-ATSU-1086,Atsuta-ku,江川線,江川線,江川線,42.1
RA-ATSU-1095,Atsuta-ku,江川線,江川線,江川線,54.4
RA-ATSU-1138,Atsuta-ku,江川線,江川線,江川線,39.1
RA-ATSU-1139,Atsuta-ku,江川線,江川線,江川線,47.0
RA-ATSU-1154,Atsuta-ku,江川線,江川線,江川線,47.0
RA-ATSU-1185,Atsuta-ku,江川線,江川線,江川線,39.1
RA-ATSU-1199,Atsuta-ku,江川線,江川線,江川線,44.9
RA-ATSU-1204,Atsuta-ku,江川線,江川線,江川線,44.9
RA-ATSU-1213,Atsuta-ku,リバーサイド堀川端プロムナード,リバーサイド堀川端プロムナード,,49.8
RA-ATSU-1227,Atsuta-ku,国道1号,国道1号,国道1号,51.2
RA-ATSU-1242,Atsuta-ku,江川線,江川線,江川線,42.0
RA-ATSU-1246,Atsuta-ku,江川線,江川線,江川線,42.4
RA-ATSU-1248,Atsuta-ku,江川線,江川線,江川線,42.7
RA-ATSU-1263,Atsuta-ku,国道1号,国道1号,国道1号,52.1
RA-ATSU-1265,Atsuta-ku,国道1号,国道1号,国道1号,52.6
RA-ATSU-1273,Atsuta-ku,江川線,江川線,江川線,41.5
RA-ATSU-1275,Atsuta-ku,国道1号,国道1号,国道1号,51.4
RA-ATSU-1276,Atsuta-ku,国道1号,国道1号,国道1号,46.8
RA-ATSU-1278,Atsuta-ku,国道1号,国道1号,国道1号,51.1
RA-ATSU-1279,Atsuta-ku,名古屋高速4号東海線,名古屋高速4号東海線,名古屋高速4号東海線,39.5
RA-ATSU-1280,Atsuta-ku,江川線,江川線,江川線,44.4
RA-ATSU-1281,Atsuta-ku,江川線,江川線,江川線,44.7
RA-ATSU-1282,Atsuta-ku,江川線,江川線,江川線,44.6
RA-ATSU-1283,Atsuta-ku,江川線,江川線,江川線,44.3
RA-ATSU-1284,Atsuta-ku,江川線,江川線,江川線,43.8
RA-ATSU-1285,Atsuta-ku,江川線,江川線,江川線,42.9
RA-ATSU-1286,Atsuta-ku,江川線,江川線,江川線,42.1
RA-ATSU-1287,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1288,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1289,Atsuta-ku,江川線,江川線,江川線,41.5
RA-ATSU-1290,Atsuta-ku,江川線,江川線,江川線,41.7
RA-ATSU-1291,Atsuta-ku,江川線,江川線,江川線,42.0
RA-ATSU-1292,Atsuta-ku,江川線,江川線,江川線,42.3
RA-ATSU-1293,Atsuta-ku,江川線,江川線,江川線,42.4
RA-ATSU-1294,Atsuta-ku,江川線,江川線,江川線,44.2
RA-ATSU-1295,Atsuta-ku,江川線,江川線,江川線,58.0
RA-ATSU-1311,Atsuta-ku,国道1号,国道1号,国道1号,51.5
RA-ATSU-1320,Atsuta-ku,江川線,江川線,江川線,45.4
RA-ATSU-1324,Atsuta-ku,江川線,江川線,江川線,42.0
RA-ATSU-1328,Atsuta-ku,国道1号,国道1号,国道1号,46.8
RA-ATSU-1330,Atsuta-ku,江川線,江川線,江川線,58.7
RA-ATSU-1344,Atsuta-ku,名古屋高速4号東海線,名古屋高速4号東海線,名古屋高速4号東海線,44.7
RA-ATSU-1345,Atsuta-ku,名古屋高速4号東海線,名古屋高速4号東海線,名古屋高速4号東海線,33.2
RA-ATSU-1348,Atsuta-ku,江川線,江川線,江川線,40.9
RA-ATSU-1355,Atsuta-ku,江川線,江川線,江川線,53.9
